Group,,admin_dose1,admin_dose2,admin_total
,boro_bronx,5793.0,2297.0,8090.0
,boro_brooklyn,27571.0,12696.0,40267.0
,boro_manhattan,43294.0,21412.0,64706.0
,boro_queens,13959.0,7021.0,20980.0
,boro_statenisland,844.0,394.0,1238.0
,boro_unk,7891.0,2898.0,10789.0
,age_0_17_yr,29.0,10.0,39.0
,age_18_24_yr,9712.0,2942.0,12654.0
,age_25_34_yr,39706.0,17125.0,56831.0
,age_35_44_yr,24732.0,12589.0,37321.0
,age_45_54_yr,12422.0,6821.0,19243.0
,age_55_64_yr,9365.0,5337.0,14702.0
,age_65_74_yr,2836.0,1611.0,4447.0
,age_75_84_yr,506.0,264.0,770.0
,age_85_plus_yr,44.0,19.0,63.0
,gender_men,74430.0,38830.0,113260.0
,gender_ncnb,5942.0,2301.0,8243.0
,gender_tgm,585.0,212.0,797.0
,gender_tgw,1079.0,386.0,1465.0
,gender_women,3527.0,928.0,4455.0
,gender_unkn,13789.0,4061.0,17850.0
,re_asian,10648.0,5272.0,15920.0
,re_black,12956.0,5592.0,18548.0
,re_hispanic,23839.0,10226.0,34065.0
,re_white,46703.0,23685.0,70388.0
,re_oth,5206.0,1943.0,7149.0
,total_rpt,99352.0,46718.0,146070.0
Data published on: October 27 at 3:45 p.m.,,,,
