week_start_date,Dimension Name,Dimension Value,admin_dose1,admin_dose2,admin_dose1_cumulative,admin_dose2_cumulative,admin_total,admin_total_cumulative
2022-05-29,Borough,Bronx,0,0,0,0,0,0
2022-05-29,Borough,Brooklyn,1,0,1,0,1,1
2022-05-29,Borough,Manhattan,3,0,3,0,3,3
2022-05-29,Borough,Non-NYC,1,0,1,0,1,1
2022-05-29,Borough,Queens,0,0,0,0,0,0
2022-05-29,Borough,Staten Island,0,0,0,0,0,0
2022-06-05,Borough,Bronx,0,0,0,0,0,0
2022-06-05,Borough,Brooklyn,3,0,4,0,3,4
2022-06-05,Borough,Manhattan,7,0,10,0,7,10
2022-06-05,Borough,Non-NYC,0,0,1,0,0,1
2022-06-05,Borough,Queens,1,0,1,0,1,1
2022-06-05,Borough,Staten Island,0,0,0,0,0,0
2022-06-12,Borough,Bronx,1,0,1,0,1,1
2022-06-12,Borough,Brooklyn,0,0,4,0,0,4
2022-06-12,Borough,Manhattan,5,1,15,1,6,16
2022-06-12,Borough,Non-NYC,1,0,2,0,1,2
2022-06-12,Borough,Queens,3,0,4,0,3,4
2022-06-12,Borough,Staten Island,0,0,0,0,0,0
2022-06-19,Borough,Bronx,0,0,1,0,0,1
2022-06-19,Borough,Brooklyn,1,0,5,0,1,5
2022-06-19,Borough,Manhattan,11,0,26,1,11,27
2022-06-19,Borough,Non-NYC,4,0,6,0,4,6
2022-06-19,Borough,Queens,1,0,5,0,1,5
2022-06-19,Borough,Staten Island,0,0,0,0,0,0
2022-06-26,Borough,Bronx,6,0,7,0,6,7
2022-06-26,Borough,Brooklyn,153,1,158,1,154,159
2022-06-26,Borough,Manhattan,369,4,395,5,373,400
2022-06-26,Borough,Non-NYC,87,1,93,1,88,94
2022-06-26,Borough,Queens,25,0,30,0,25,30
2022-06-26,Borough,Staten Island,0,0,0,0,0,0
2022-07-03,Borough,Bronx,2,0,9,0,2,9
2022-07-03,Borough,Brooklyn,88,0,246,1,88,247
2022-07-03,Borough,Manhattan,187,5,582,10,192,592
2022-07-03,Borough,Non-NYC,36,0,129,1,36,130
2022-07-03,Borough,Queens,10,1,40,1,11,41
2022-07-03,Borough,Staten Island,1,0,1,0,1,1
2022-07-10,Borough,Bronx,20,0,29,0,20,29
2022-07-10,Borough,Brooklyn,424,0,670,1,424,671
2022-07-10,Borough,Manhattan,1101,4,1683,14,1105,1697
2022-07-10,Borough,Non-NYC,184,1,313,2,185,315
2022-07-10,Borough,Queens,143,3,183,4,146,187
2022-07-10,Borough,Staten Island,6,0,7,0,6,7
2022-07-17,Borough,Bronx,224,0,253,0,224,253
2022-07-17,Borough,Brooklyn,1984,3,2654,4,1987,2658
2022-07-17,Borough,Manhattan,3263,15,4946,29,3278,4975
2022-07-17,Borough,Non-NYC,595,5,908,7,600,915
2022-07-17,Borough,Queens,720,1,903,5,721,908
2022-07-17,Borough,Staten Island,23,0,30,0,23,30
2022-07-24,Borough,Bronx,311,1,564,1,312,565
2022-07-24,Borough,Brooklyn,1937,11,4591,15,1948,4606
2022-07-24,Borough,Manhattan,3784,35,8730,64,3819,8794
2022-07-24,Borough,Non-NYC,668,3,1576,10,671,1586
2022-07-24,Borough,Queens,928,4,1831,9,932,1840
2022-07-24,Borough,Staten Island,35,0,65,0,35,65
2022-07-31,Borough,Bronx,639,3,1203,4,642,1207
2022-07-31,Borough,Brooklyn,3271,10,7862,25,3281,7887
2022-07-31,Borough,Manhattan,5325,65,14055,129,5390,14184
2022-07-31,Borough,Non-NYC,921,5,2497,15,926,2512
2022-07-31,Borough,Queens,1777,1,3608,10,1778,3618
2022-07-31,Borough,Staten Island,56,0,121,0,56,121
2022-08-07,Borough,Bronx,1225,5,2428,9,1230,2437
2022-08-07,Borough,Brooklyn,4901,24,12763,49,4925,12812
2022-08-07,Borough,Manhattan,7026,82,21081,211,7108,21292
2022-08-07,Borough,Non-NYC,1439,3,3936,18,1442,3954
2022-08-07,Borough,Queens,2895,17,6503,27,2912,6530
2022-08-07,Borough,Staten Island,93,2,214,2,95,216
2022-08-14,Borough,Bronx,1310,10,3738,19,1320,3757
2022-08-14,Borough,Brooklyn,5729,67,18492,116,5796,18608
2022-08-14,Borough,Manhattan,7727,226,28808,437,7953,29245
2022-08-14,Borough,Non-NYC,1789,28,5725,46,1817,5771
2022-08-14,Borough,Queens,2593,36,9096,63,2629,9159
2022-08-14,Borough,Staten Island,223,3,437,5,226,442
2022-08-21,Borough,Bronx,499,32,4237,51,531,4288
2022-08-21,Borough,Brooklyn,2450,103,20942,219,2553,21161
2022-08-21,Borough,Manhattan,3849,398,32657,835,4247,33492
2022-08-21,Borough,Non-NYC,857,28,6582,74,885,6656
2022-08-21,Borough,Queens,1218,83,10314,146,1301,10460
2022-08-21,Borough,Staten Island,135,3,572,8,138,580
2022-08-28,Borough,Bronx,341,43,4578,94,384,4672
2022-08-28,Borough,Brooklyn,1887,109,22829,328,1996,23157
2022-08-28,Borough,Manhattan,2569,373,35226,1208,2942,36434
2022-08-28,Borough,Non-NYC,711,40,7293,114,751,7407
2022-08-28,Borough,Queens,981,106,11295,252,1087,11547
2022-08-28,Borough,Staten Island,78,4,650,12,82,662
2022-09-04,Borough,Bronx,368,61,4946,155,429,5101
2022-09-04,Borough,Brooklyn,1468,194,24297,522,1662,24819
2022-09-04,Borough,Manhattan,2232,449,37458,1657,2681,39115
2022-09-04,Borough,Non-NYC,639,34,7932,148,673,8080
2022-09-04,Borough,Queens,747,93,12042,345,840,12387
2022-09-04,Borough,Staten Island,76,2,726,14,78,740
2022-09-11,Borough,Bronx,201,118,5147,273,319,5420
2022-09-11,Borough,Brooklyn,694,991,24991,1513,1685,26504
2022-09-11,Borough,Manhattan,1260,1527,38718,3184,2787,41902
2022-09-11,Borough,Non-NYC,329,248,8261,396,577,8657
2022-09-11,Borough,Queens,417,420,12459,765,837,13224
2022-09-11,Borough,Staten Island,35,18,761,32,53,793
2022-09-18,Borough,Bronx,197,341,5344,614,538,5958
2022-09-18,Borough,Brooklyn,588,2532,25579,4045,3120,29624
2022-09-18,Borough,Manhattan,1047,3974,39765,7158,5021,46923
2022-09-18,Borough,Non-NYC,279,745,8540,1141,1024,9681
2022-09-18,Borough,Queens,308,1308,12767,2073,1616,14840
2022-09-18,Borough,Staten Island,24,43,785,75,67,860
2022-09-25,Borough,Bronx,143,572,5487,1186,715,6673
2022-09-25,Borough,Brooklyn,472,3946,26051,7991,4418,34042
2022-09-25,Borough,Manhattan,780,5762,40545,12920,6542,53465
2022-09-25,Borough,Non-NYC,227,1114,8767,2255,1341,11022
2022-09-25,Borough,Queens,320,2284,13087,4357,2604,17444
2022-09-25,Borough,Staten Island,16,149,801,224,165,1025
2022-10-02,Borough,Bronx,123,547,5610,1733,670,7343
2022-10-02,Borough,Brooklyn,423,2423,26474,10414,2846,36888
2022-10-02,Borough,Manhattan,621,3999,41166,16919,4620,58085
2022-10-02,Borough,Non-NYC,189,747,8956,3002,936,11958
2022-10-02,Borough,Queens,265,1385,13352,5742,1650,19094
2022-10-02,Borough,Staten Island,18,88,819,312,106,1131
2022-10-09,Borough,Bronx,69,301,5679,2034,370,7713
2022-10-09,Borough,Brooklyn,280,1148,26754,11562,1428,38316
2022-10-09,Borough,Manhattan,527,2257,41693,19176,2784,60869
2022-10-09,Borough,Non-NYC,158,437,9114,3439,595,12553
2022-10-09,Borough,Queens,204,666,13556,6408,870,19964
2022-10-09,Borough,Staten Island,11,46,830,358,57,1188
2022-10-16,Borough,Bronx,70,158,5749,2192,228,7941
2022-10-16,Borough,Brooklyn,238,522,26992,12084,760,39076
2022-10-16,Borough,Manhattan,411,1047,42104,20223,1458,62327
2022-10-16,Borough,Non-NYC,164,196,9278,3635,360,12913
2022-10-16,Borough,Queens,171,302,13727,6710,473,20437
2022-10-16,Borough,Staten Island,8,22,838,380,30,1218
2022-10-23,Borough,Bronx,64,130,5813,2322,194,8135
2022-10-23,Borough,Brooklyn,177,388,27169,12472,565,39641
2022-10-23,Borough,Manhattan,324,738,42428,20961,1062,63389
2022-10-23,Borough,Non-NYC,110,155,9388,3790,265,13178
2022-10-23,Borough,Queens,115,253,13842,6963,368,20805
2022-10-23,Borough,Staten Island,7,18,845,398,25,1243
2022-10-30,Borough,Bronx,51,88,5864,2410,139,8274
2022-10-30,Borough,Brooklyn,136,318,27305,12790,454,40095
2022-10-30,Borough,Manhattan,276,549,42704,21510,825,64214
2022-10-30,Borough,Non-NYC,79,112,9467,3902,191,13369
2022-10-30,Borough,Queens,98,183,13940,7146,281,21086
2022-10-30,Borough,Staten Island,10,15,855,413,25,1268
2022-11-06,Borough,Bronx,35,61,5899,2471,96,8370
2022-11-06,Borough,Brooklyn,89,183,27394,12973,272,40367
2022-11-06,Borough,Manhattan,201,413,42905,21923,614,64828
2022-11-06,Borough,Non-NYC,63,75,9530,3977,138,13507
2022-11-06,Borough,Queens,53,93,13993,7239,146,21232
2022-11-06,Borough,Staten Island,6,13,861,426,19,1287
2022-11-13,Borough,Bronx,40,89,5939,2560,129,8499
2022-11-13,Borough,Brooklyn,91,262,27485,13235,353,40720
2022-11-13,Borough,Manhattan,168,497,43073,22420,665,65493
2022-11-13,Borough,Non-NYC,46,85,9576,4062,131,13638
2022-11-13,Borough,Queens,51,158,14044,7397,209,21441
2022-11-13,Borough,Staten Island,3,5,864,431,8,1295
2022-11-20,Borough,Bronx,52,68,5991,2628,120,8619
2022-11-20,Borough,Brooklyn,49,140,27534,13375,189,40909
2022-11-20,Borough,Manhattan,134,259,43207,22679,393,65886
2022-11-20,Borough,Non-NYC,30,49,9606,4111,79,13717
2022-11-20,Borough,Queens,44,92,14088,7489,136,21577
2022-11-20,Borough,Staten Island,1,2,865,433,3,1298
2022-11-27,Borough,Bronx,17,22,6008,2650,39,8658
2022-11-27,Borough,Brooklyn,40,54,27574,13429,94,41003
2022-11-27,Borough,Manhattan,46,98,43253,22777,144,66030
2022-11-27,Borough,Non-NYC,9,14,9615,4125,23,13740
2022-11-27,Borough,Queens,31,35,14119,7524,66,21643
2022-11-27,Borough,Staten Island,3,1,868,434,4,1302
