week_start_date,Dimension Name,Dimension Value,admin_dose1,admin_dose2,admin_dose1_cumulative,admin_dose2_cumulative,admin_total,admin_total_cumulative
2022-05-29,Race/Ethnicity,2+ Races,0,0,0,0,0,0
2022-05-29,Race/Ethnicity,Asian,0,0,0,0,0,0
2022-05-29,Race/Ethnicity,Black,1,0,1,0,1,1
2022-05-29,Race/Ethnicity,Hispanic,1,0,1,0,1,1
2022-05-29,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-05-29,Race/Ethnicity,Native Hawaiian/Pacific Islander,0,0,0,0,0,0
2022-05-29,Race/Ethnicity,Other/Unknown,0,0,0,0,0,0
2022-05-29,Race/Ethnicity,White,3,0,3,0,3,3
2022-06-05,Race/Ethnicity,2+ Races,0,0,0,0,0,0
2022-06-05,Race/Ethnicity,Asian,0,0,0,0,0,0
2022-06-05,Race/Ethnicity,Black,1,0,2,0,1,2
2022-06-05,Race/Ethnicity,Hispanic,4,0,5,0,4,5
2022-06-05,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-06-05,Race/Ethnicity,Native Hawaiian/Pacific Islander,0,0,0,0,0,0
2022-06-05,Race/Ethnicity,Other/Unknown,1,0,1,0,1,1
2022-06-05,Race/Ethnicity,White,7,0,10,0,7,10
2022-06-12,Race/Ethnicity,2+ Races,0,0,0,0,0,0
2022-06-12,Race/Ethnicity,Asian,0,0,0,0,0,0
2022-06-12,Race/Ethnicity,Black,0,0,2,0,0,2
2022-06-12,Race/Ethnicity,Hispanic,4,0,9,0,4,9
2022-06-12,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-06-12,Race/Ethnicity,Native Hawaiian/Pacific Islander,0,0,0,0,0,0
2022-06-12,Race/Ethnicity,Other/Unknown,1,0,2,0,1,2
2022-06-12,Race/Ethnicity,White,5,1,15,1,6,16
2022-06-19,Race/Ethnicity,2+ Races,0,0,0,0,0,0
2022-06-19,Race/Ethnicity,Asian,1,0,1,0,1,1
2022-06-19,Race/Ethnicity,Black,0,0,2,0,0,2
2022-06-19,Race/Ethnicity,Hispanic,5,0,14,0,5,14
2022-06-19,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-06-19,Race/Ethnicity,Native Hawaiian/Pacific Islander,0,0,0,0,0,0
2022-06-19,Race/Ethnicity,Other/Unknown,0,0,2,0,0,2
2022-06-19,Race/Ethnicity,White,11,0,26,1,11,27
2022-06-26,Race/Ethnicity,2+ Races,5,0,5,0,5,5
2022-06-26,Race/Ethnicity,Asian,35,1,36,1,36,37
2022-06-26,Race/Ethnicity,Black,25,0,27,0,25,27
2022-06-26,Race/Ethnicity,Hispanic,69,1,83,1,70,84
2022-06-26,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-06-26,Race/Ethnicity,Native Hawaiian/Pacific Islander,2,0,2,0,2,2
2022-06-26,Race/Ethnicity,Other/Unknown,83,0,85,0,83,85
2022-06-26,Race/Ethnicity,White,421,4,447,5,425,452
2022-07-03,Race/Ethnicity,2+ Races,4,0,9,0,4,9
2022-07-03,Race/Ethnicity,Asian,22,0,58,1,22,59
2022-07-03,Race/Ethnicity,Black,16,1,43,1,17,44
2022-07-03,Race/Ethnicity,Hispanic,35,2,118,3,37,121
2022-07-03,Race/Ethnicity,Native American/Alaska Native,0,0,0,0,0,0
2022-07-03,Race/Ethnicity,Native Hawaiian/Pacific Islander,0,0,2,0,0,2
2022-07-03,Race/Ethnicity,Other/Unknown,27,1,112,1,28,113
2022-07-03,Race/Ethnicity,White,219,3,666,8,222,674
2022-07-10,Race/Ethnicity,2+ Races,23,0,32,0,23,32
2022-07-10,Race/Ethnicity,Asian,219,0,277,1,219,278
2022-07-10,Race/Ethnicity,Black,101,0,144,1,101,145
2022-07-10,Race/Ethnicity,Hispanic,292,3,410,6,295,416
2022-07-10,Race/Ethnicity,Native American/Alaska Native,6,0,6,0,6,6
2022-07-10,Race/Ethnicity,Native Hawaiian/Pacific Islander,3,0,5,0,3,5
2022-07-10,Race/Ethnicity,Other/Unknown,29,1,141,2,30,143
2022-07-10,Race/Ethnicity,White,1205,4,1871,12,1209,1883
2022-07-17,Race/Ethnicity,2+ Races,92,0,124,0,92,124
2022-07-17,Race/Ethnicity,Asian,668,0,945,1,668,946
2022-07-17,Race/Ethnicity,Black,661,0,805,1,661,806
2022-07-17,Race/Ethnicity,Hispanic,1340,6,1750,12,1346,1762
2022-07-17,Race/Ethnicity,Native American/Alaska Native,17,0,23,0,17,23
2022-07-17,Race/Ethnicity,Native Hawaiian/Pacific Islander,17,0,22,0,17,22
2022-07-17,Race/Ethnicity,Other/Unknown,89,0,230,2,89,232
2022-07-17,Race/Ethnicity,White,3922,18,5793,30,3940,5823
2022-07-24,Race/Ethnicity,2+ Races,141,1,265,1,142,266
2022-07-24,Race/Ethnicity,Asian,732,2,1677,3,734,1680
2022-07-24,Race/Ethnicity,Black,833,6,1638,7,839,1645
2022-07-24,Race/Ethnicity,Hispanic,1684,8,3434,20,1692,3454
2022-07-24,Race/Ethnicity,Native American/Alaska Native,27,0,50,0,27,50
2022-07-24,Race/Ethnicity,Native Hawaiian/Pacific Islander,21,1,43,1,22,44
2022-07-24,Race/Ethnicity,Other/Unknown,132,2,362,4,134,366
2022-07-24,Race/Ethnicity,White,4099,34,9892,64,4133,9956
2022-07-31,Race/Ethnicity,2+ Races,212,0,477,1,212,478
2022-07-31,Race/Ethnicity,Asian,1148,5,2825,8,1153,2833
2022-07-31,Race/Ethnicity,Black,1568,7,3206,14,1575,3220
2022-07-31,Race/Ethnicity,Hispanic,2800,6,6234,26,2806,6260
2022-07-31,Race/Ethnicity,Native American/Alaska Native,31,0,81,0,31,81
2022-07-31,Race/Ethnicity,Native Hawaiian/Pacific Islander,35,0,78,1,35,79
2022-07-31,Race/Ethnicity,Other/Unknown,291,2,653,6,293,659
2022-07-31,Race/Ethnicity,White,5902,64,15794,128,5966,15922
2022-08-07,Race/Ethnicity,2+ Races,339,1,816,2,340,818
2022-08-07,Race/Ethnicity,Asian,1796,22,4621,30,1818,4651
2022-08-07,Race/Ethnicity,Black,2533,9,5739,23,2542,5762
2022-08-07,Race/Ethnicity,Hispanic,4450,27,10684,53,4477,10737
2022-08-07,Race/Ethnicity,Native American/Alaska Native,59,1,140,1,60,141
2022-08-07,Race/Ethnicity,Native Hawaiian/Pacific Islander,46,0,124,1,46,125
2022-08-07,Race/Ethnicity,Other/Unknown,443,2,1096,8,445,1104
2022-08-07,Race/Ethnicity,White,7911,76,23705,204,7987,23909
2022-08-14,Race/Ethnicity,2+ Races,379,3,1195,5,382,1200
2022-08-14,Race/Ethnicity,Asian,2023,40,6644,70,2063,6714
2022-08-14,Race/Ethnicity,Black,2930,35,8669,58,2965,8727
2022-08-14,Race/Ethnicity,Hispanic,4710,61,15394,114,4771,15508
2022-08-14,Race/Ethnicity,Native American/Alaska Native,41,2,181,3,43,184
2022-08-14,Race/Ethnicity,Native Hawaiian/Pacific Islander,37,0,161,1,37,162
2022-08-14,Race/Ethnicity,Other/Unknown,554,10,1650,18,564,1668
2022-08-14,Race/Ethnicity,White,8692,221,32397,425,8913,32822
2022-08-21,Race/Ethnicity,2+ Races,175,5,1370,10,180,1380
2022-08-21,Race/Ethnicity,Asian,925,47,7569,117,972,7686
2022-08-21,Race/Ethnicity,Black,1284,71,9953,129,1355,10082
2022-08-21,Race/Ethnicity,Hispanic,2158,110,17552,224,2268,17776
2022-08-21,Race/Ethnicity,Native American/Alaska Native,27,1,208,4,28,212
2022-08-21,Race/Ethnicity,Native Hawaiian/Pacific Islander,17,4,178,5,21,183
2022-08-21,Race/Ethnicity,Other/Unknown,293,16,1943,34,309,1977
2022-08-21,Race/Ethnicity,White,4125,403,36522,828,4528,37350
2022-08-28,Race/Ethnicity,2+ Races,117,1,1487,11,118,1498
2022-08-28,Race/Ethnicity,Asian,736,44,8305,161,780,8466
2022-08-28,Race/Ethnicity,Black,906,87,10859,216,993,11075
2022-08-28,Race/Ethnicity,Hispanic,1581,105,19133,329,1686,19462
2022-08-28,Race/Ethnicity,Native American/Alaska Native,15,1,223,5,16,228
2022-08-28,Race/Ethnicity,Native Hawaiian/Pacific Islander,20,3,198,8,23,206
2022-08-28,Race/Ethnicity,Other/Unknown,202,23,2145,57,225,2202
2022-08-28,Race/Ethnicity,White,2990,412,39512,1240,3402,40752
2022-09-04,Race/Ethnicity,2+ Races,99,10,1586,21,109,1607
2022-09-04,Race/Ethnicity,Asian,683,63,8988,224,746,9212
2022-09-04,Race/Ethnicity,Black,729,92,11588,308,821,11896
2022-09-04,Race/Ethnicity,Hispanic,1269,153,20402,482,1422,20884
2022-09-04,Race/Ethnicity,Native American/Alaska Native,16,8,239,13,24,252
2022-09-04,Race/Ethnicity,Native Hawaiian/Pacific Islander,14,2,212,10,16,222
2022-09-04,Race/Ethnicity,Other/Unknown,203,15,2348,72,218,2420
2022-09-04,Race/Ethnicity,White,2516,507,42028,1747,3023,43775
2022-09-11,Race/Ethnicity,2+ Races,48,58,1634,79,106,1713
2022-09-11,Race/Ethnicity,Asian,341,372,9329,596,713,9925
2022-09-11,Race/Ethnicity,Black,341,360,11929,668,701,12597
2022-09-11,Race/Ethnicity,Hispanic,759,607,21161,1089,1366,22250
2022-09-11,Race/Ethnicity,Native American/Alaska Native,13,10,252,23,23,275
2022-09-11,Race/Ethnicity,Native Hawaiian/Pacific Islander,5,9,217,19,14,236
2022-09-11,Race/Ethnicity,Other/Unknown,92,47,2440,119,139,2559
2022-09-11,Race/Ethnicity,White,1336,1870,43364,3617,3206,46981
2022-09-18,Race/Ethnicity,2+ Races,40,148,1674,227,188,1901
2022-09-18,Race/Ethnicity,Asian,286,1043,9615,1639,1329,11254
2022-09-18,Race/Ethnicity,Black,322,1098,12251,1766,1420,14017
2022-09-18,Race/Ethnicity,Hispanic,640,1908,21801,2997,2548,24798
2022-09-18,Race/Ethnicity,Native American/Alaska Native,7,33,259,56,40,315
2022-09-18,Race/Ethnicity,Native Hawaiian/Pacific Islander,5,17,222,36,22,258
